                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6869,                 3.1988,                 1.2215,                0.85777,                0.07171,                0.08708,                0.05128,                 1.4762,                 1.9521,                 1.1592,               0.067117,             0.00033215,             0.00033215
                      1,                  1.492,                 1.8937,                 1.1384,                0.61917,                0.17768,                0.18003,                0.10385,                 1.3983,                 1.4583,                  1.142,               0.034052,              0.0005996,              0.0005996
                      2,                 1.4092,                 1.5633,                 1.1139,                0.39649,                 0.2837,                0.25708,                0.15473,                 1.3236,                 1.2656,                 1.1179,             0.00091967,             0.00080105,             0.00080105
                      3,                 1.3563,                 1.4227,                 1.0971,                0.43556,                0.32318,                0.30989,                0.18991,                 1.2826,                 1.1759,                  1.099,               0.000703,               0.000703,               0.000703
                      4,                 1.3121,                 1.3282,                 1.0781,                0.49862,                0.35946,                0.35607,                0.22109,                 1.2522,                 1.1225,                 1.0872,               0.000703,               0.000703,               0.000703
                      5,                 1.2853,                 1.2771,                  1.067,                0.40516,                0.40256,                0.37375,                0.22581,                 1.2353,                 1.0773,                 1.0831,               0.000604,               0.000604,               0.000604
                      6,                 1.2646,                 1.2291,                 1.0537,                0.46864,                0.41284,                0.41427,                0.25143,                 1.2091,                  1.047,                 1.0706,               0.000505,               0.000505,               0.000505
                      7,                  1.243,                 1.1987,                  1.051,                 0.4515,                0.43471,                0.42853,                0.26214,                 1.1986,                 1.0212,                 1.0629,               0.000406,               0.000406,               0.000406
                      8,                 1.2315,                 1.1797,                 1.0479,                 0.4821,                0.43581,                0.44007,                0.26828,                 1.1825,                0.99777,                 1.0595,               0.000307,               0.000307,               0.000307
                      9,                 1.2085,                 1.1507,                 1.0386,                0.50551,                0.43859,                0.45669,                0.27905,                 1.1744,                0.98591,                 1.0543,               0.000208,               0.000208,               0.000208
