                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4182,                 1.8426,                 1.1855,                 0.4677,                0.36318,                0.39399,                0.24624,                 1.1707,                0.98817,                 1.0847,               0.067117,             0.00033215,             0.00033215
                      1,                 1.2087,                 1.0031,                 1.0615,                0.72186,                0.46563,                0.56272,                0.35635,                  1.072,                0.78647,                 1.0315,               0.034115,             0.00066266,             0.00066266
                      2,                 1.1593,                0.89332,                 1.0373,                0.70117,                0.54618,                0.61513,                0.40111,                 1.0428,                0.70476,                 1.0196,              0.0011006,             0.00098197,             0.00098197
                      3,                 1.1303,                0.81536,                 1.0239,                0.65843,                0.61915,                0.64956,                0.43191,                 1.0269,                0.66732,                 1.0129,             0.00096232,             0.00096232,             0.00096232
                      4,                 1.1109,                0.76524,                 1.0101,                0.72586,                0.61056,                0.67921,                 0.4587,                  0.998,                   0.64,                0.99283,             0.00096232,             0.00096232,             0.00096232
                      5,                 1.0816,                 0.7374,                  1.006,                0.78406,                 0.6299,                0.71338,                0.48162,                0.98402,                0.61976,                 1.0029,             0.00093368,             0.00093368,             0.00093368
                      6,                  1.056,                0.69936,                0.99579,                0.77387,                0.65348,                0.72362,                0.49375,                0.97563,                0.60933,                0.99254,             0.00089771,             0.00089771,             0.00089771
                      7,                 1.0504,                0.68088,                0.98455,                0.78303,                 0.6897,                0.74111,                0.51002,                0.94975,                0.58457,                0.98256,             0.00085502,             0.00085502,             0.00085502
                      8,                 1.0268,                0.66794,                0.98464,                0.77428,                0.71473,                0.75943,                0.52431,                0.94816,                0.57749,                0.98409,             0.00080634,             0.00080634,             0.00080634
                      9,                 1.0063,                0.64834,                 0.9783,                0.74119,                0.72582,                0.76443,                0.52818,                0.93774,                0.57056,                0.98111,              0.0007525,              0.0007525,              0.0007525
                     10,                 1.0014,                0.63783,                0.97639,                0.75843,                0.73945,                0.76507,                 0.5321,                 0.9252,                0.56525,                0.97436,             0.00069443,             0.00069443,             0.00069443
                     11,                 0.9901,                0.62962,                0.96943,                0.78994,                0.73017,                0.78001,                0.54942,                0.91164,                 0.5525,                0.97054,             0.00063312,             0.00063312,             0.00063312
                     12,                0.98765,                 0.6226,                0.96436,                0.77542,                0.74174,                0.78716,                0.55676,                0.90042,                0.54579,                0.96303,             0.00056961,             0.00056961,             0.00056961
                     13,                0.96928,                0.60328,                0.95876,                0.76881,                0.76012,                0.79217,                0.56025,                0.89742,                0.53756,                0.96014,               0.000505,               0.000505,               0.000505
                     14,                 0.9301,                0.56712,                0.95556,                0.78334,                0.74496,                0.79179,                0.55641,                0.90594,                0.54392,                0.96789,             0.00044039,             0.00044039,             0.00044039
                     15,                0.91653,                0.55043,                0.94462,                0.78395,                0.74931,                0.79235,                0.56183,                0.89407,                0.53928,                0.95793,             0.00037688,             0.00037688,             0.00037688
                     16,                0.89895,                0.54086,                0.93872,                0.80083,                0.75703,                0.79827,                0.57114,                0.88758,                0.53093,                0.95518,             0.00031557,             0.00031557,             0.00031557
                     17,                0.88424,                 0.5278,                 0.9374,                 0.7972,                0.76054,                0.80645,                0.57741,                0.88905,                0.52628,                0.96086,              0.0002575,              0.0002575,              0.0002575
                     18,                 0.8745,                0.51629,                0.93176,                 0.8101,                0.76997,                0.81188,                0.58728,                0.87744,                0.51849,                0.95622,             0.00020366,             0.00020366,             0.00020366
                     19,                0.86296,                0.50892,                0.92812,                0.82516,                0.75713,                0.81215,                0.58583,                0.87442,                0.51393,                0.95267,             0.00015498,             0.00015498,             0.00015498
                     20,                0.85078,                0.50055,                0.92467,                0.81848,                0.76393,                0.81551,                0.59116,                0.86218,                0.50784,                0.94997,             0.00011229,             0.00011229,             0.00011229
                     21,                0.84707,                0.49661,                0.92372,                0.80853,                0.77579,                 0.8173,                0.59469,                0.85829,                0.50568,                0.94646,             7.6317e-05,             7.6317e-05,             7.6317e-05
                     22,                0.84029,                 0.4923,                0.91963,                0.82068,                0.77287,                0.81919,                0.59568,                0.85877,                0.50446,                0.94868,              4.768e-05,              4.768e-05,              4.768e-05
                     23,                0.83904,                0.49148,                0.91905,                0.82252,                0.77146,                0.82149,                0.59355,                0.85681,                0.50075,                0.94805,             2.6867e-05,             2.6867e-05,             2.6867e-05
