                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2826,                 1.2132,                 1.0677,                0.46621,                0.44974,                0.44692,                0.27571,                 1.1773,                0.97245,                 1.0572,               0.067117,             0.00033215,             0.00033215
                      1,                 1.2546,                 1.1308,                  1.058,                0.48614,                0.45679,                 0.4571,                0.28151,                  1.177,                0.95243,                 1.0561,               0.034115,             0.00066266,             0.00066266
                      2,                 1.2534,                 1.1067,                 1.0567,                0.49465,                 0.4715,                0.47731,                0.29421,                 1.1755,                0.94553,                 1.0573,              0.0011006,             0.00098197,             0.00098197
                      3,                 1.2342,                 1.0701,                 1.0479,                0.51108,                0.48487,                0.48932,                0.29834,                 1.1545,                0.91743,                 1.0487,             0.00096232,             0.00096232,             0.00096232
                      4,                 1.2333,                 1.0617,                  1.045,                0.55162,                 0.4774,                0.50556,                0.30817,                 1.1572,                0.91719,                 1.0543,             0.00096232,             0.00096232,             0.00096232
                      5,                 1.2055,                 1.0254,                  1.039,                0.57257,                0.49257,                0.52001,                0.32386,                 1.1394,                 0.8957,                 1.0438,             0.00093368,             0.00093368,             0.00093368
                      6,                 1.1973,                  1.006,                  1.033,                0.55982,                0.49919,                0.52585,                0.32335,                 1.1354,                0.88656,                 1.0391,             0.00089771,             0.00089771,             0.00089771
                      7,                 1.1832,                0.97906,                 1.0279,                0.60094,                0.50993,                0.54066,                0.33946,                  1.122,                0.86224,                 1.0352,             0.00085502,             0.00085502,             0.00085502
                      8,                  1.179,                0.97233,                 1.0228,                0.63087,                0.50531,                0.56013,                 0.3526,                 1.1072,                0.84412,                 1.0291,             0.00080634,             0.00080634,             0.00080634
                      9,                 1.1585,                0.94694,                 1.0194,                0.66279,                0.51628,                0.57892,                0.36181,                 1.1048,                0.83762,                 1.0261,              0.0007525,              0.0007525,              0.0007525
                     10,                 1.1558,                0.93816,                 1.0163,                0.62081,                0.54721,                0.57915,                0.36607,                 1.1037,                0.82687,                 1.0288,             0.00069443,             0.00069443,             0.00069443
                     11,                 1.1518,                 0.9319,                 1.0135,                0.65433,                0.55191,                0.59392,                 0.3743,                 1.0945,                 0.8159,                 1.0271,             0.00063312,             0.00063312,             0.00063312
                     12,                 1.1388,                0.91646,                 1.0126,                0.65545,                0.57023,                0.61051,                0.38674,                 1.0835,                0.80605,                 1.0206,             0.00056961,             0.00056961,             0.00056961
                     13,                 1.1329,                0.90746,                  1.007,                0.65562,                0.55371,                0.60162,                0.37907,                 1.0816,                 0.8049,                 1.0182,               0.000505,               0.000505,               0.000505
                     14,                 1.1316,                0.94901,                 1.0058,                0.62059,                0.56747,                0.59749,                0.37181,                 1.0963,                0.81404,                 1.0242,             0.00044039,             0.00044039,             0.00044039
                     15,                 1.1102,                0.91701,                0.99717,                0.67642,                0.56144,                0.60813,                0.38332,                 1.0814,                0.80194,                 1.0196,             0.00037688,             0.00037688,             0.00037688
                     16,                 1.0989,                0.90165,                 0.9946,                0.69631,                 0.5606,                 0.6215,                0.38782,                 1.0774,                  0.792,                  1.018,             0.00031557,             0.00031557,             0.00031557
                     17,                 1.0879,                0.89041,                0.99117,                0.66766,                0.57837,                0.61449,                0.38865,                 1.0672,                0.78456,                 1.0147,              0.0002575,              0.0002575,              0.0002575
                     18,                 1.0841,                0.88411,                0.98596,                0.70736,                0.56197,                0.62388,                0.39652,                 1.0698,                0.78212,                 1.0143,             0.00020366,             0.00020366,             0.00020366
                     19,                  1.078,                0.87461,                0.98727,                0.68911,                0.55899,                0.61926,                0.39411,                 1.0593,                0.77321,                 1.0102,             0.00015498,             0.00015498,             0.00015498
                     20,                 1.0654,                 0.8705,                0.98146,                0.70101,                0.55171,                0.62116,                0.39806,                 1.0589,                0.77181,                 1.0104,             0.00011229,             0.00011229,             0.00011229
                     21,                 1.0667,                0.86299,                0.98333,                 0.7284,                0.55299,                0.62913,                0.39887,                 1.0496,                0.76897,                 1.0083,             7.6317e-05,             7.6317e-05,             7.6317e-05
                     22,                  1.059,                0.85902,                0.98233,                0.71359,                0.56742,                0.63115,                0.40239,                 1.0516,                0.76815,                  1.008,              4.768e-05,              4.768e-05,              4.768e-05
                     23,                 1.0596,                  0.861,                0.97805,                0.71679,                0.56928,                0.63169,                0.40202,                 1.0495,                0.76423,                 1.0082,             2.6867e-05,             2.6867e-05,             2.6867e-05
